,id_hs,id_hh,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,num_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_occu,num_mhh_age,num_hh_ann_incm,num_tot_energy_heat,num_tot_gas_heat
0,HS1101000001,HH13110253,1,1,3,9,4,1,5,125.39999999999999,4,1,2,12,1,3,5,5,1,45,66000000,8307.76,6049.4
1,HS1101000002,HH14110053,1,1,2,2,4,3,5,99.0,3,1,2,20,1,3,4,3,3,55,78000000,24438.403026,21490.566406
2,HS1101000004,HH14110055,1,1,2,1,6,3,3,158.39999999999998,3,1,1,15,1,3,4,4,1,45,25000000,12559.75,10711.61
3,HS1101000007,HH14110057,1,1,1,1,5,2,3,62.699999999999996,3,1,1,10,1,3,4,2,1,55,54000000,13374.45,10085.81
4,HS1101000008,HH14110058,1,1,1,2,5,1,3,115.5,3,1,1,8,1,3,4,4,3,55,54000000,11364.27,7686.91
5,HS1101000009,HH17110001,1,1,1,1,4,2,6,132.0,3,1,2,6,1,3,4,3,3,25,54000000,6287.812032,1678.212032
6,HS1101000010,HH14110056,1,1,1,1,6,1,6,148.5,4,1,2,8,1,3,5,4,1,55,66000000,13485.94,10137.96
7,HS1102000001,HH13110255,1,1,2,2,5,2,4,99.0,2,1,1,10,1,3,5,4,1,55,78000000,15702.059276,12859.759276
8,HS1102000003,HH11110023,1,1,1,1,5,1,2,122.1,4,1,2,5,1,3,4,5,3,55,18000000,9096.68,7301.0
9,HS1102000004,HH13110257,1,1,1,1,6,1,2,102.3,2,1,1,7,1,3,5,2,5,67,12000000,15988.136785,14001.536785
10,HS1102000005,HH13110258,1,1,1,1,5,1,1,79.19999999999999,4,1,2,6,1,3,4,6,3,55,25000000,11149.05,7666.05
11,HS1103000001,HH13110233,1,1,3,1,5,2,5,112.19999999999999,3,1,2,10,1,3,4,6,5,45,66000000,16959.53,11692.03
12,HS1103000002,HH11110020,1,1,1,2,4,2,3,82.5,3,1,2,8,1,1,4,1,5,67,12000000,13983.62,10847.2
13,HS1103000005,HH11110021,1,1,1,1,5,2,4,125.39999999999999,4,1,2,6,1,3,4,4,1,55,54000000,12606.476667,8618.6566667
14,HS1103000007,HH11110022,1,1,1,1,5,2,3,59.4,2,1,1,8,1,1,4,2,5,67,12000000,20416.39,17449.39
15,HS1103000008,HH13110234,1,1,3,17,3,1,4,82.5,3,1,1,10,3,3,4,4,1,45,42000000,6441.3291078,396.34
16,HS1103000010,HH17110002,1,1,1,1,6,3,4,165.0,4,1,2,8,1,3,4,5,3,55,66000000,15228.072422,14017.192422
17,HS1103000011,HH17110003,1,1,1,3,6,3,4,132.0,3,1,2,12,1,3,4,4,3,55,66000000,14604.963116,11396.303116
18,HS1103000012,HH17110004,1,1,2,3,5,1,4,66.0,2,1,1,7,1,3,4,2,1,35,96000000,5783.180994,4241.0515347
19,HS1103000013,HH17110005,1,1,1,1,6,1,2,105.6,3,1,1,6,1,1,4,3,1,55,25000000,8167.2927061,5435.9327061
20,HS1104000001,HH11110012,1,1,1,2,5,4,4,89.1,3,1,1,10,1,3,4,3,1,35,54000000,14238.380114,9903.1201136
21,HS1104000002,HH11110013,1,1,1,1,5,4,4,85.8,3,1,1,8,1,1,4,2,5,67,25000000,8187.6193626,6090.0793626
22,HS1104000004,HH13110171,1,1,1,2,5,2,4,85.8,3,1,1,10,1,3,5,5,1,45,54000000,13292.402519,9319.2025185
23,HS1104000008,HH11110016,1,1,1,1,5,2,4,79.19999999999999,3,1,1,8,1,3,4,3,1,45,42000000,12710.09,10044.09
24,HS1104000010,HH12110011,1,1,1,1,5,4,4,99.0,3,1,1,4,1,3,4,2,5,55,42000000,13079.18,10221.4
25,HS1104000011,HH11110017,1,1,1,1,5,2,4,92.39999999999999,3,1,2,10,1,1,4,1,2,45,25000000,12026.41,10127.53
26,HS1104000014,HH14110032,1,1,1,1,6,2,2,79.19999999999999,3,1,1,4,1,3,4,3,2,67,66000000,12459.42,10576.02
27,HS1104000016,HH13110175,1,1,3,23,5,1,5,108.89999999999999,3,1,2,10,1,3,4,4,1,55,90000000,12678.120269,9045.4802686
28,HS1104000017,HH13110172,1,1,2,3,3,1,4,72.6,2,1,1,3,1,1,4,3,1,45,42000000,11170.650717,9921.0707173
29,HS1104000018,HH17110006,1,1,3,18,3,2,6,112.19999999999999,3,1,2,5,1,3,4,3,1,67,90000000,8586.2196246,5476.4596246
30,HS1105000001,HH13110055,1,1,3,18,2,3,5,112.19999999999999,3,1,2,14,1,3,4,4,1,55,96000000,12897.631359,9185.8713594
31,HS1105000002,HH13110056,1,1,3,5,2,3,5,82.5,3,1,1,7,1,3,4,4,1,35,42000000,11084.07,8354.43
32,HS1105000003,HH13110057,1,1,1,2,5,2,3,66.0,3,1,1,8,1,3,4,5,1,45,42000000,9418.1161253,6253.3161253
33,HS1105000004,HH13110058,1,1,3,1,2,3,5,108.89999999999999,3,1,2,12,1,3,4,3,1,55,90000000,11879.180269,9045.4802686
34,HS1105000006,HH13110060,1,1,3,3,2,1,4,72.6,2,1,1,10,1,3,4,4,3,45,66000000,9816.6034896,7752.6034896
35,HS1105000007,HH13110061,1,1,3,7,4,1,5,105.6,3,1,2,12,1,3,4,3,1,35,42000000,12708.11,9856.35
36,HS1105000008,HH13110062,1,1,3,19,5,1,4,122.1,3,1,2,10,1,1,4,4,1,45,66000000,12167.484409,9584.9044093
37,HS1105000009,HH11110002,1,1,1,1,5,1,1,85.8,3,1,2,8,2,1,3,1,1,35,18000000,11922.88,0.0
38,HS1105000010,HH11110003,1,1,1,2,5,1,1,79.19999999999999,3,1,2,8,2,3,3,5,3,45,42000000,9697.56,0.0
39,HS1105000011,HH11110004,1,1,1,1,5,3,2,72.6,3,1,2,10,2,3,3,1,1,45,25000000,12844.0,0.0
40,HS1105000012,HH11110005,1,1,1,1,5,3,1,42.9,1,1,1,2,2,3,3,2,1,35,42000000,9304.25,0.0
41,HS1105000014,HH17110007,1,1,2,4,5,1,5,112.19999999999999,3,1,1,5,1,3,4,4,1,45,96000000,11332.431359,9185.8713594
42,HS1105000015,HH17110008,1,1,1,1,4,2,5,92.39999999999999,3,1,1,3,1,3,4,4,1,45,66000000,9515.33,7040.25
43,HS1105000016,HH17110009,1,1,2,4,4,3,5,56.099999999999994,3,1,1,4,1,1,5,4,3,45,66000000,12561.350933,8893.450933
44,HS1105000017,HH13110059,1,1,1,2,4,1,4,92.39999999999999,3,1,1,6,1,1,4,2,1,45,54000000,9265.9962659,7907.1962659
45,HS1105000019,HH17110011,1,1,1,3,5,3,3,99.0,3,1,1,4,1,3,4,4,3,45,54000000,14406.22,11368.7
46,HS1105000020,HH17110012,1,1,1,4,5,1,6,72.6,3,1,1,6,1,3,4,4,1,67,54000000,10240.58349,7752.6034896
47,HS1106000001,HH13110105,1,1,3,14,4,2,6,95.69999999999999,3,1,2,16,1,3,4,4,1,35,54000000,10839.45,7666.05
48,HS1106000002,HH13110106,1,1,3,7,2,1,5,108.89999999999999,3,1,2,12,1,3,4,3,1,55,54000000,7218.77,2847.39
49,HS1106000003,HH13110107,1,1,3,25,2,1,5,49.5,2,1,1,7,1,3,4,4,1,55,78000000,10325.714221,7709.5942214
50,HS1106000004,HH13110108,1,1,3,3,4,1,5,108.89999999999999,3,1,2,10,1,3,4,4,1,45,42000000,4260.603698,2730.663698
51,HS1106000006,HH13110110,1,1,3,1,2,1,4,75.89999999999999,3,1,1,10,1,3,4,4,1,45,66000000,8804.11,5246.29
52,HS1106000010,HH13110114,1,1,2,5,5,3,4,79.19999999999999,3,1,1,10,1,3,4,4,3,45,78000000,11223.421812,8882.5018119
53,HS1106000015,HH13110118,1,1,3,14,4,1,5,108.89999999999999,3,1,2,12,1,3,4,4,1,55,54000000,12587.820269,9045.4802686
54,HS1106000016,HH13110119,1,1,3,16,3,1,5,79.19999999999999,2,1,1,8,1,3,4,3,1,45,42000000,13696.928741,10626.728741
55,HS1106000017,HH13110120,1,1,3,8,2,1,5,151.79999999999998,4,1,2,18,1,1,4,4,1,45,96000000,20683.470573,17166.930573
56,HS1106000018,HH13110121,1,1,3,2,3,1,5,145.2,4,1,2,20,1,1,4,2,2,67,25000000,3982.707636,1618.567636
57,HS1106000021,HH17110013,1,1,3,6,2,1,6,105.6,3,1,2,5,1,3,5,4,1,45,25000000,10002.21,6643.91
58,HS1106000022,HH17110014,1,1,1,3,4,2,3,92.39999999999999,3,1,1,4,1,1,4,4,2,45,54000000,10275.452503,7172.5725025
59,HS1106000023,HH17110015,1,1,3,1,2,3,5,108.89999999999999,3,1,2,3,1,3,5,4,1,45,54000000,14758.99,10732.47
60,HS1106000024,HH17110016,1,1,3,6,3,2,5,141.9,4,1,2,3,1,3,5,6,1,45,42000000,18728.38,14122.22
61,HS1106000025,HH17110017,1,1,1,1,6,3,5,72.6,3,1,1,5,1,3,4,3,1,25,25000000,10497.72349,7752.6034896
62,HS1106000026,HH17110018,1,1,2,3,6,3,3,62.699999999999996,3,1,1,4,1,3,4,4,5,55,42000000,15139.066617,12192.706617
63,HS1106000027,HH17110019,1,1,3,14,2,1,5,82.5,3,1,1,4,1,1,4,1,2,67,12000000,6235.6230168,3605.5745659
64,HS1106000028,HH17110020,1,1,3,11,5,1,5,138.6,4,1,2,7,1,3,5,6,1,45,90000000,19716.812259,16337.872259
65,HS1106000029,HH17110021,1,1,3,19,3,3,5,105.6,3,1,2,4,1,3,5,4,1,45,54000000,9426.65,6623.05
66,HS1106000030,HH17110022,1,1,3,12,3,1,5,112.19999999999999,3,1,2,3,1,3,5,4,3,45,42000000,15596.64,12119.66
67,HS1106000031,HH17110023,1,1,3,12,6,1,6,112.19999999999999,3,1,2,6,1,3,5,3,1,45,54000000,9500.42,5381.88
68,HS1106000032,HH17110024,1,1,2,3,2,2,6,62.699999999999996,2,1,1,4,1,3,4,4,2,55,42000000,13593.325505,11485.465505
69,HS1106000033,HH17110025,1,1,3,10,2,1,4,138.6,4,1,2,10,1,3,5,1,5,67,18000000,11059.090122,7939.8701223
70,HS1106000034,HH17110026,1,1,3,7,2,1,3,105.6,3,1,1,7,1,3,4,4,1,45,78000000,8539.0617737,5999.2363331
71,HS1106000035,HH17110027,1,1,2,2,4,1,2,132.0,4,1,1,6,1,3,4,2,3,55,54000000,13199.342769,9786.0027686
72,HS1107000002,HH13110261,1,1,2,2,4,3,5,72.6,3,1,2,6,1,3,4,5,1,35,78000000,13139.788579,12333.108579
73,HS1107000003,HH13110262,1,1,1,1,5,1,2,99.0,3,1,1,8,1,3,4,4,1,45,54000000,10257.873171,7863.6331706
74,HS1107000005,HH12110028,1,1,2,2,3,4,5,56.099999999999994,2,1,1,7,1,3,4,3,5,55,25000000,8219.3953419,5420.9553419
75,HS1107000006,HH12110029,1,1,2,2,4,4,5,89.1,2,1,1,8,1,3,4,4,5,55,25000000,12626.29,10252.69
76,HS1107000008,HH13110264,1,1,3,15,2,1,6,108.89999999999999,3,1,2,14,1,3,5,3,1,35,78000000,16733.214232,13235.594232
77,HS1107000009,HH13110265,1,1,3,5,2,1,4,105.6,3,1,2,12,1,3,5,4,3,45,78000000,13207.025933,9601.9059334
78,HS1107000011,HH17110029,1,1,2,2,2,3,4,49.5,3,1,1,3,1,3,4,3,3,55,25000000,13177.78,10763.76
79,HS1107000012,HH17110030,1,1,1,2,4,1,3,82.5,3,1,1,6,1,3,4,1,5,67,12000000,11495.052288,8512.5722881
80,HS1107000013,HH17110031,1,1,1,1,3,1,4,49.5,2,1,1,4,1,1,4,1,1,35,18000000,8537.505683,6428.9826013
81,HS1107000014,HH17110032,1,1,1,3,4,3,4,79.19999999999999,3,1,1,6,1,1,4,4,1,35,42000000,13319.2,10555.16
82,HS1108000001,HH12110012,1,1,1,1,5,3,1,125.39999999999999,4,1,2,6,2,3,3,1,1,67,42000000,16844.72,0.0
