,id_hh,id_hs,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,num_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_occu,num_hh_ann_incm,num_heat_satis,num_heat_cost_rel,num_mhh_age,num_tot_energy_heat,num_tot_gas_heat,num_tot_gas_vol,lv_cg,lv_meter,lv_indv,lv_measure
0,HH13110253,HS1101000001,1,1,3,9,2,1,4,125.4,4,1,2,14,1,3,5,5,1,6,2,3,45,15554.885,12661.845,1230.5,1,1.0,1,3.0
1,HH14110055,HS1101000004,1,1,2,1,5,3,3,158.4,3,1,1,15,1,3,5,4,1,3,2,3,55,14201.24,10598.7,1030.0,1,1.0,1,1.0
2,HH14110057,HS1101000007,1,1,1,1,5,2,3,62.7,3,1,1,10,1,3,5,1,5,3,1,3,55,13970.908639,11104.528639,1079.1573022,1,1.0,1,1.0
3,HH17110001,HS1101000009,1,1,1,1,4,2,6,132.0,3,1,2,11,1,3,5,3,5,5,2,2,35,5932.0975,3012.3975,292.75,1,1.0,1,3.0
4,HH18110236,HS1101000011,1,1,2,3,4,2,5,99.0,3,1,2,14,1,3,5,3,1,4,3,3,45,22726.588313,18994.188313,1845.8880771,1,1.0,1,1.0
5,HH18110122,HS1101000012,1,1,1,1,5,2,3,112.2,3,1,2,16,1,3,5,4,1,7,3,3,55,14151.41,10876.53,1057.0,1,1.0,1,1.0
6,HH18110119,HS1101000013,1,1,1,1,4,1,3,99.0,3,1,2,14,1,3,5,2,5,3,2,3,67,13754.994557,11666.054557,1133.7273622,1,1.0,1,1.0
7,HH13110255,HS1102000001,1,1,2,2,5,2,4,99.0,2,1,1,10,1,3,5,4,1,7,1,3,55,7360.5185,4441.6785,431.65,1,1.0,1,3.0
8,HH11110023,HS1102000003,1,1,1,1,6,1,2,122.1,4,1,2,8,1,3,5,5,3,2,2,3,55,15254.70714,11894.68714,1155.9462721,1,1.0,1,1.0
9,HH13110257,HS1102000004,1,1,1,1,5,2,2,102.3,2,1,1,14,1,3,5,2,5,1,1,2,67,15925.4987,13078.8987,1271.03,1,1.0,1,3.0
10,HH18110114,HS1102000006,1,1,3,19,3,3,5,112.2,3,1,2,20,1,2,5,4,3,7,1,3,67,13590.8312,8574.4512,833.28,1,1.0,1,3.0
11,HH13110233,HS1103000001,1,1,3,1,4,2,4,112.2,3,1,2,14,1,3,5,6,4,6,3,4,55,16894.46,11586.54,1126.0,1,1.0,1,1.0
12,HH11110021,HS1103000005,1,1,1,1,5,1,2,125.4,4,1,2,13,1,3,5,4,1,5,2,3,55,22120.58,18110.4,1760.0,1,1.0,1,1.0
13,HH11110022,HS1103000007,1,1,1,1,5,3,3,85.8,3,1,1,13,1,3,5,2,3,1,3,2,67,20787.86,17719.38,1722.0,1,1.0,1,1.0
14,HH13110234,HS1103000008,1,1,3,17,3,2,4,82.5,3,1,1,12,3,3,5,4,1,4,2,4,45,9292.2285331,0.0,0.0,0,1.0,2,1.0
15,HH17110004,HS1103000012,1,1,2,3,4,1,4,66.0,2,1,1,13,1,3,5,2,1,9,2,2,35,5794.2628737,4383.8628737,426.03137742,1,1.0,1,1.0
16,HH18110063,HS1103000019,1,1,2,3,3,3,4,99.0,3,1,1,10,1,3,5,4,3,8,3,3,67,22152.58,18933.6,1840.0,1,1.0,1,2.0
17,HH18110005,HS1103000020,1,1,1,1,5,2,4,99.0,3,1,2,10,1,3,5,4,1,6,2,2,55,19748.78,15723.12,1528.0,1,1.0,1,2.0
18,HH18110008,HS1103000021,1,1,1,1,4,1,4,82.5,3,1,1,24,1,3,4,2,3,4,3,3,45,9709.48,7347.06,714.0,1,1.0,1,1.0
19,HH18110015,HS1103000022,1,1,1,1,4,1,4,89.1,3,1,1,10,1,1,5,2,3,2,3,2,67,19938.34,17369.52,1688.0,1,1.0,1,1.0
20,HH18110208,HS1103000023,1,1,2,2,3,2,6,59.4,3,1,1,9,1,3,5,2,1,4,3,2,45,9780.12,7305.9,710.0,1,1.0,1,1.0
21,HH18110040,HS1104000019,1,1,1,2,5,3,4,69.3,3,1,1,18,1,3,5,4,1,5,4,4,25,14033.759,10877.559,1057.1,1,1.0,1,3.0
