,id_hs,id_hh,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,num_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_occu,num_tot_energy_heat,num_tot_gas_heat,num_mhh_age,num_hh_ann_incm
0,2016_HS1101000001,2016_HH13110253,1,1,3,9,4,1,5,125.4,4,1,2,12,1,3,4,5,1,14787.63,11817.19,45,42000000
1,2016_HS1101000002,2016_HH14110053,1,1,2,2,4,3,5,99.0,3,1,2,20,1,3,4,3,3,15669.59,12839.33,55,66000000
2,2016_HS1101000003,2016_HH14110054,1,1,1,1,6,1,4,105.6,3,1,1,10,1,3,4,4,1,10811.384375,6819.264375,55,12000000
3,2016_HS1101000004,2016_HH14110055,1,1,2,1,6,3,3,158.39999999999998,3,1,1,15,1,3,4,4,1,9699.294732,8133.234732,45,25000000
4,2016_HS1101000006,2016_HH14110056,1,1,1,1,6,1,6,148.5,4,1,2,8,1,3,5,4,1,16089.62,12954.06,55,66000000
5,2016_HS1101000007,2016_HH14110057,1,1,1,1,5,2,3,62.7,3,1,1,10,1,3,4,3,1,11562.120322,8289.820322,55,54000000
6,2016_HS1101000008,2016_HH14110058,1,1,1,2,5,1,3,115.5,3,1,1,8,1,3,4,4,3,14162.99,10649.03,55,54000000
7,2016_HS1102000001,2016_HH13110255,1,1,2,2,5,2,4,99.0,2,1,1,10,1,3,4,4,3,15608.88,12057.08,55,42000000
8,2016_HS1102000002,2016_HH13110256,1,1,3,11,4,3,4,112.2,3,1,1,18,1,1,4,4,1,12356.08,9094.96,35,78000000
9,2016_HS1102000003,2016_HH11110023,1,1,1,1,5,1,2,122.1,4,1,2,5,1,3,4,3,5,12259.73,9418.29,67,54000000
10,2016_HS1102000004,2016_HH13110257,1,1,1,1,6,1,2,102.3,2,1,1,7,1,3,4,2,5,16839.22,14309.96,67,42000000
11,2016_HS1102000005,2016_HH13110258,1,1,1,1,5,1,1,79.19999999999999,4,1,2,6,1,3,4,6,3,10880.47,7478.31,55,25000000
12,2016_HS1103000001,2016_HH13110233,1,1,3,1,5,2,5,112.2,3,1,2,10,1,3,4,6,2,17831.134312,12679.734312,45,66000000
13,2016_HS1103000002,2016_HH11110020,1,1,1,2,4,2,3,82.5,3,1,2,8,1,1,4,1,5,8204.43,5058.55,67,12000000
14,2016_HS1103000004,2016_HH12110025,1,1,1,2,5,2,4,75.89999999999999,3,1,2,8,1,3,4,5,1,16488.71,10920.21,45,18000000
15,2016_HS1103000005,2016_HH11110021,1,1,1,1,5,2,4,125.4,4,1,2,6,1,1,4,5,1,8136.007293,4890.367293,55,54000000
16,2016_HS1103000006,2016_HH12110026,1,1,1,1,5,2,4,75.89999999999999,3,1,2,8,1,1,4,1,5,3343.429607,1814.349607,67,12000000
17,2016_HS1103000007,2016_HH11110022,1,1,1,1,5,2,3,59.4,2,1,1,8,1,1,4,3,3,8357.52,5548.76,67,25000000
18,2016_HS1103000008,2016_HH13110234,1,1,3,17,3,1,4,82.5,3,1,1,10,3,3,4,4,1,9882.4292814,469.35,45,42000000
19,2016_HS1103000009,2016_HH12110027,1,1,1,1,5,4,1,66.0,2,1,1,8,2,1,3,4,5,9871.26,0.0,67,54000000
20,2016_HS1104000001,2016_HH11110012,1,1,1,2,5,4,4,89.1,3,1,1,10,1,3,4,3,1,10239.368263,5870.568263,35,54000000
21,2016_HS1104000002,2016_HH11110013,1,1,1,1,5,4,4,85.8,3,1,1,8,1,3,4,3,5,9296.089663,6882.069663,67,12000000
