,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,num_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_occu,num_tot_energy_heat,num_mhh_age,num_hh_ann_incm
0,1,2,3,3,2,1,4,105.6,3,1,1,11,1,1,4,2,5,13741.16,67,25000000
1,3,2,3,2,4,2,5,59.4,2,1,1,3,3,3,4,5,1,12531.197472,55,25000000
2,1,1,3,5,6,2,6,115.5,3,1,2,4,1,3,4,3,1,6329.650468,35,42000000
3,1,1,1,1,6,1,1,165.0,2,1,1,4,2,1,3,3,1,10775.93,45,25000000
4,1,2,2,4,4,1,5,99.0,3,1,1,4,2,1,3,4,1,8710.22,45,42000000
5,3,1,1,1,6,2,4,99.0,4,1,2,8,1,3,4,4,1,9325.0951059,55,4
6,2,1,3,28,4,2,5,141.9,4,1,2,17,1,3,4,2,1,5691.611227,55,96000000
7,1,2,2,2,4,3,5,72.6,2,1,1,8,1,3,4,3,1,9653.92,55,42000000
8,1,1,2,3,5,1,4,66.0,2,1,1,7,1,3,4,2,1,5783.180994,35,96000000
9,3,2,3,2,4,2,5,79.19999999999999,2,1,1,8,1,3,4,3,1,12291.820247,55,54000000
10,3,1,3,14,2,2,5,92.4,3,1,2,15,1,3,4,3,1,11785.179033,35,18000000
11,1,1,2,4,4,3,6,92.4,3,1,2,20,1,3,5,2,1,3767.2562,25,6
12,3,1,3,2,3,1,3,82.5,3,1,1,8,1,1,4,2,1,9838.0899159,45,4
13,2,2,1,1,6,2,1,33.0,1,1,1,4,1,1,3,1,5,2646.38,67,12000000
14,3,1,3,5,3,2,3,42.9,2,1,1,8,1,3,4,1,1,8777.2104509,55,2
15,3,1,1,1,6,3,3,36.3,2,1,1,3,2,1,3,1,5,5432.68,67,1
16,1,2,1,1,6,1,3,92.4,3,1,2,8,2,1,3,2,1,10957.62,35,18000000
17,3,2,1,2,5,1,5,105.6,3,1,2,12,1,3,4,3,1,7823.1611491,55,42000000
18,3,1,3,9,2,3,4,102.3,3,1,2,6,1,3,4,4,1,8343.99,45,4
